Model,Features,Constraints,UVL2Logic Time (s),Variables,Clauses,fastOrder Time (s),Logic2BDD Time (s),BDD Nodes,Configurations,Info
systems_software-stm3210e_eval-Berger2013,1270,3200,1.8980e-06,1270,4470,0.6242,Timeout,,,
security-CVE-VarelaVaca2020-2014-9034,137,113,2.5257e-06,137,128,3.12,3.2386,504,1944,
systems_software-calm16_ceb-Knüppel2017,1186,830,2.3227e-06,1186,1999,0.6195,Timeout,,,
security-CVE-VarelaVaca2020-2010-0220,114,98,2.0377e-06,114,112,2.1014,2.0169,315,408,
systems_software-BusyBox-Pett2021-2009-04-20_22-04-21,577,617,1.9539e-06,577,1194,0.0614,2.6133,2733,9.42e130,
security-CVE-VarelaVaca2020-2014-1567,292,446,1.8124e-06,292,466,0.1777,0.6625,1824,1160,
systems_software-edosk2674-Berger2013,1195,3034,1.9800e-06,1195,4229,0.577,Timeout,,,
systems_software-Coreboot-Berger2013,12269,47091,2.4773e-06,12269,59360,2541.2641,Timeout,,,
security-CVE-VarelaVaca2020-2020-12407,478,1259,1.8664e-06,478,1277,301.6942,301.8214,2830,9012,
security-CVE-VarelaVaca2020-2011-3001,236,187,1.8273e-06,236,209,0.0843,0.1543,915,988,
database-berkeleydb-Hierons2020,117,282,2.3842e-06,117,337,0.0365,0.0436,207,32,
security-CVE-VarelaVaca2020-2018-20714,195,172,1.6969e-06,195,188,11.975,12.0907,503,940,
security-CVE-VarelaVaca2020-2015-4473,341,551,1.6019e-06,341,581,0.2459,0.9905,1696,1312,
systems_software-BusyBox-Pett2021-2007-08-21_10-26-55,464,490,1.6596e-06,464,954,0.0495,0.1315,67024,1.28e107,
security-CVE-VarelaVaca2020-2015-2738,529,688,1.8347e-06,529,733,0.4081,1.2026,2812,2328,
security-CVE-VarelaVaca2020-2018-20963,170,1,1.6540e-06,170,15,8.8021,8.8429,325,628,
security-CVE-VarelaVaca2020-2014-1551,429,891,1.7770e-06,429,917,0.333,0.8107,2118,6100,
security-CVE-VarelaVaca2020-2011-2371,321,266,2.1011e-06,321,289,0.1283,0.2197,1181,5072,
systems_software-uClibc-Pett2023-2013-08-02_14-04-17,241,1333,1.8403e-06,241,1574,0.0775,0.1473,24803,2.18e29,
security-CVE-VarelaVaca2020-2018-12388,445,1132,1.9409e-06,445,1156,0.4893,2.6821,2993,8852,
security-CVE-VarelaVaca2020-2011-0055,195,167,1.8198e-06,195,185,0.0766,0.1444,620,724,
systems_software-jmr3904-Berger2013,1200,3035,1.7975e-06,1200,4235,0.5712,Timeout,,,
security-CVE-VarelaVaca2020-2009-1311,148,121,2.6412e-06,148,139,0.0524,0.0849,606,540,
security-CVE-VarelaVaca2020-2014-6412,359,337,2.3246e-06,359,351,124.1583,125.9835,1101,2036,
security-CVE-VarelaVaca2020-2015-2455,130,62,1.9316e-06,130,131,0.0409,0.0454,1431,3192,
security-CVE-VarelaVaca2020-2011-2983,282,195,2.1812e-06,282,215,0.1006,0.1628,982,1180,
systems_software-soletta-Pett2023-2016-03-24_11-34-06,366,1210,2.1178e-06,366,1576,0.0574,0.0782,5089,1.99e40,
security-CVE-VarelaVaca2020-2016-2807,366,843,2.1160e-06,366,872,0.3465,1.1751,2425,5808,
security-CVE-VarelaVaca2020-2012-0443,124,73,1.6410e-06,124,93,0.039,0.0542,383,504,
security-CVE-VarelaVaca2020-2016-4566,391,366,1.6708e-06,391,383,0.5746,1.995,1363,2188,
security-CVE-VarelaVaca2020-2009-2334,129,99,1.8422e-06,129,118,0.0478,0.0713,539,692,
security-CVE-VarelaVaca2020-2009-3077,119,98,2.1812e-06,119,112,1.9474,2.142,333,432,
security-CVE-VarelaVaca2020-2014-1548,415,578,2.8536e-06,415,598,0.2636,0.9036,1566,1944,
security-CVE-VarelaVaca2020-2018-19796,241,225,2.1849e-06,241,241,32.5536,33.0504,579,904,
security-CVE-VarelaVaca2020-2016-11085,137,1,2.2296e-06,137,15,4.335,4.4194,259,496,
security-CVE-VarelaVaca2020-2014-1561,268,441,1.9614e-06,268,461,0.2277,0.5644,1101,1064,
security-CVE-VarelaVaca2020-2017-14726,456,434,2.1886e-06,456,448,284.9164,281.1586,1397,2564,
security-CVE-VarelaVaca2020-2013-0772,365,473,2.0266e-06,365,513,0.2214,0.4488,1994,1592,
security-CVE-VarelaVaca2020-2012-3979,220,332,1.6466e-06,220,354,0.1225,0.2758,1105,812,
security-CVE-VarelaVaca2020-2013-2203,118,96,1.7975e-06,118,110,1.9629,1.8757,456,864,
security-CVE-VarelaVaca2020-2019-14945,257,1,2.0936e-06,257,15,43.2879,43.6204,499,976,
security-CVE-VarelaVaca2020-2015-9360,106,1,1.7509e-06,106,15,1.7476,1.8615,197,372,
security-CVE-VarelaVaca2020-2015-7210,350,810,2.2072e-06,350,839,0.3391,1.0719,2418,5744,
security-CVE-VarelaVaca2020-2010-0176,248,207,2.5854e-06,248,229,0.0819,0.1352,966,960,
security-CVE-VarelaVaca2020-2008-0419,103,80,1.4920e-06,103,98,0.0363,0.0537,391,352,
security-CVE-VarelaVaca2020-2017-5492,433,411,2.0992e-06,433,425,236.8124,238.6468,1291,2432,
security-CVE-VarelaVaca2020-2012-3991,484,531,2.1383e-06,484,589,0.2598,0.4353,3489,2160,
security-CVE-VarelaVaca2020-2014-1502,405,531,1.9725e-06,405,576,0.2737,0.6361,1666,1856,
security-CVE-VarelaVaca2020-2016-4828,115,1,1.6969e-06,115,15,2.4118,2.3761,215,408,
security-CVE-VarelaVaca2020-2010-2766,267,226,2.0526e-06,267,248,0.0923,0.1693,1004,1036,
security-CVE-VarelaVaca2020-2018-20838,133,1,2.4792e-06,133,15,3.9313,3.9554,251,480,
security-CVE-VarelaVaca2020-2013-0749,516,576,2.3749e-06,516,628,0.2897,0.5767,3236,2388,
systems_software-BusyBox-Pett2021-2008-11-10_13-32-50,567,592,2.0172e-06,567,1159,0.0587,1.2095,2898,1.29e129,
security-CVE-VarelaVaca2020-2014-1584,276,466,2.3879e-06,276,482,43.0933,43.9842,1008,1112,
systems_software-uClibc-Pett2023-2008-10-17_14-05-53,234,1717,2.2203e-06,234,1951,0.0924,0.1761,11051,1.13e24,
security-CVE-VarelaVaca2020-2020-26968,936,2123,2.4345e-06,936,2151,1.2972,6.2086,8047,27244,
security-CVE-VarelaVaca2020-2015-2736,528,689,1.8124e-06,528,732,0.4419,1.2292,3546,2328,
systems_software-soletta-Pett2023-2016-04-19_18-34-18,393,1549,2.0675e-06,393,1942,0.0922,7.0911,190067,6.71e40,
security-CVE-VarelaVaca2020-2012-0469,158,85,2.2445e-06,158,109,0.0481,0.0381,578,664,
security-CVE-VarelaVaca2020-2012-3990,488,532,2.0470e-06,488,593,0.2707,0.4383,3634,2164,
security-CVE-VarelaVaca2020-2009-3072,119,98,1.8012e-06,119,112,1.9803,2.109,285,432,
security-CVE-VarelaVaca2020-2012-1947,162,87,2.2948e-06,162,111,0.0472,0.0635,623,692,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-52,229,1213,2.1942e-06,229,1442,0.0809,0.4481,10129,8.08e7,
security-CVE-VarelaVaca2020-2013-1723,480,606,1.8962e-06,480,630,0.2591,0.6856,2157,2480,
systems_software-uClibc-Pett2023-2020-12-24_11-54-53,235,1670,1.9483e-06,235,1905,0.0961,0.1806,15883,2.54e25,
security-CVE-VarelaVaca2020-2010-3166,267,226,2.1551e-06,267,248,0.0926,0.1625,1008,1036,
systems_software-BusyBox-Pett2021-2008-07-09_21-24-18,554,608,2.9355e-06,554,1162,0.0547,0.1084,27946,2.38e126,
security-CVE-VarelaVaca2020-2011-3659,388,308,1.6205e-06,388,350,0.1685,0.2794,2000,1596,
security-CVE-VarelaVaca2020-2010-0179,243,202,2.2091e-06,243,224,0.0793,0.1319,949,940,
security-CVE-VarelaVaca2020-2019-12566,174,1,1.8869e-06,174,15,9.4238,9.6456,333,644,
security-CVE-VarelaVaca2020-2016-2821,375,884,1.9111e-06,375,918,0.3823,1.4322,2766,5820,
security-CVE-VarelaVaca2020-2009-2044,103,159,2.2892e-06,103,178,1.2201,1.218,239,344,
security-CVE-VarelaVaca2020-2010-0173,248,207,1.7267e-06,248,229,0.0833,0.138,1014,960,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-49,224,1111,2.1514e-06,224,1335,0.0725,0.2943,9583,7.31e7,
security-CVE-VarelaVaca2020-2020-15667,484,1277,2.0210e-06,484,1295,315.9082,315.5923,2841,9036,
systems_software-jtst-Berger2013,1242,3818,2.4382e-06,1242,5060,0.84,Timeout,,,
systems_software-BusyBox-Pett2021-2007-10-07_20-46-34,472,508,1.7863e-06,472,980,0.0495,0.0967,21992,1.59e108,
systems_software-soletta-Pett2023-2016-05-03_18-52-10,401,1574,1.9670e-06,401,1975,0.127,8.2789,41405,7.03e42,
systems_software-cma28x-Knüppel2017,1217,849,2.4810e-06,1217,2049,0.7548,Timeout,,,
security-CVE-VarelaVaca2020-2014-1515,264,623,2.7778e-05,264,643,34.2707,34.3679,998,5172,
security-CVE-VarelaVaca2020-2018-9864,133,1,1.6410e-06,133,15,3.9031,3.9315,251,480,
systems_software-axTLS-Berger2013,685,2155,1.6801e-06,685,2840,0.2016,569.7099,551588,5.35e61,
security-CVE-VarelaVaca2020-2012-3973,199,329,1.6633e-06,199,345,10.9524,11.0237,575,752,
systems_software-uClibc-Pett2023-2010-04-02_10-29-00,248,1743,1.7323e-06,248,1991,0.0908,0.1583,7536,4.72e26,
security-CVE-VarelaVaca2020-2011-2981,202,147,1.6671e-06,202,167,0.0718,0.1515,782,732,
systems_software-uClibc-Pett2023-2011-10-27_12-48-31,243,1314,1.6261e-06,243,1557,0.0759,0.119,10618,1.62e28,
security-CVE-VarelaVaca2020-2009-0771,180,147,1.6093e-06,180,169,0.0537,0.055,701,664,
security-CVE-VarelaVaca2020-2016-2826,359,1167,1.6224e-06,359,1193,0.3886,1.404,2148,15036,
systems_software-uClibc-Pett2023-2012-04-18_00-09-02,246,1317,1.5087e-06,246,1563,0.0727,0.1233,9317,7.13e28,
security-CVE-VarelaVaca2020-2008-0420,151,118,1.5832e-06,151,140,0.0476,0.0388,585,544,
systems_software-BusyBox-Pett2021-2009-08-21_00-05-51,593,645,1.4659e-06,593,1238,0.0618,0.5546,4785,6.73e133,
security-CVE-VarelaVaca2020-2012-3970,447,525,1.6615e-06,447,553,0.2081,0.4324,2486,2096,
systems_software-eb40a-Berger2013,1242,3817,1.6801e-06,1242,5059,0.8138,Timeout,,,
security-CVE-VarelaVaca2020-2013-0769,536,581,2.6617e-06,536,644,0.3107,0.514,4024,2424,
security-CVE-VarelaVaca2020-2007-4841,145,112,1.4398e-06,145,134,0.0462,0.0602,560,520,
security-CVE-VarelaVaca2020-2013-0784,504,579,2.0582e-06,504,616,0.2795,0.5461,3365,2440,
hardware-printer-Mendonca2009,172,0,1.4529e-06,172,78,0.0191,0.0304,220,2.28e27,
security-CVE-VarelaVaca2020-2013-5595,475,578,1.5199e-06,475,606,0.2797,0.625,2916,2332,
systems_software-atlas_mips32_4kc-Berger2013,1217,3078,1.6019e-06,1217,4295,0.6572,Timeout,,,
security-CVE-VarelaVaca2020-2016-5836,388,366,5.1260e-06,388,380,166.3792,166.1921,1182,2188,
systems_software-soletta-Pett2023-2016-03-01_10-32-30,356,1175,2.3376e-06,356,1531,0.0572,0.1226,71777,9.97e39,
systems_software-Fiasco-Pett2023-2018-03-21_10-31-39,234,1231,1.6186e-06,234,1465,0.0868,0.3007,6783,1.95e8,
systems_software-BusyBox-Pett2021-2009-11-21_18-32-19,604,660,1.5367e-06,604,1264,0.0623,1.6533,5031,7.41e135,
security-CVE-VarelaVaca2020-2016-5262,363,883,1.7975e-06,363,907,0.3328,1.3271,2102,5816,
security-CVE-VarelaVaca2020-2013-1689,233,390,1.9427e-06,233,406,22.0577,22.0003,846,904,
security-CVE-VarelaVaca2020-2016-10148,391,369,1.6987e-06,391,383,170.5711,172.068,1185,2200,
security-CVE-VarelaVaca2020-2014-5265,289,243,1.4286e-06,289,266,0.17,0.3371,1218,1624,
security-CVE-VarelaVaca2020-2013-0761,516,576,1.8924e-06,516,628,0.2903,0.5305,3387,2388,
security-CVE-VarelaVaca2020-2018-7280,206,190,1.7509e-06,206,206,17.6209,17.7973,492,764,
security-CVE-VarelaVaca2020-2012-1936,110,87,1.8533e-06,110,102,1.3505,1.4523,431,764,
security-CVE-VarelaVaca2020-2015-2722,336,521,1.7527e-06,336,552,0.2786,0.8195,1460,1288,
security-CVE-VarelaVaca2020-2015-2503,141,60,1.3486e-06,141,132,0.0408,0.0475,999,352,
systems_software-windows-Mendonca2009-8,461,138,1.2685e-06,461,416,0.1229,119.5191,197158,1.90e53,
security-CVE-VarelaVaca2020-2020-28039,546,522,2.1234e-06,546,536,510.6392,559.2355,1672,3060,
systems_software-Buildroot-Berger2013,14911,45603,2.3600e-06,14911,60514,689.043,Timeout,,,
security-CVE-VarelaVaca2020-2015-4501,318,550,2.5891e-06,318,566,75.1991,75.9308,955,1280,
systems_software-ec555-Knüppel2017,1280,863,1.8403e-06,1280,2125,0.7229,Timeout,,,
security-CVE-VarelaVaca2020-2014-9031,134,112,1.8533e-06,134,126,3.0894,3.1278,536,968,
systems_software-mb93091-Berger2013,1251,3131,1.8850e-06,1251,4382,0.6159,Timeout,,,
systems_software-soletta-Pett2023-2015-08-21_13-54-55,226,704,1.0114e-06,226,930,0.0404,0.0517,1368,3.40e24,
security-CVE-VarelaVaca2020-2020-26596,554,523,1.9483e-06,554,545,510.789,512.647,1682,3060,
security-CVE-VarelaVaca2020-2015-0835,289,492,1.6801e-06,289,508,52.9537,53.281,871,1164,
systems_software-uClibc-Pett2023-2016-11-27_22-32-11,236,1232,1.3765e-06,236,1468,0.0814,0.1328,14296,5.65e27,
security-CVE-VarelaVaca2020-2015-4486,340,551,1.8161e-06,340,581,0.2959,0.9825,1166,1308,
security-CVE-VarelaVaca2020-2014-8809,197,1,1.3299e-06,197,15,15.401,15.7374,379,736,
systems_software-Embtoolkit-Knüppel2017,1179,323,1.8571e-06,1179,1186,1.2142,0.87,4864,5.13e96,
systems_software-uClibc-Pett2023-2013-12-20_14-38-23,244,1407,2.0582e-06,244,1651,0.089,0.1439,15979,2.20e29,
security-CVE-VarelaVaca2020-2010-1201,139,95,1.5348e-06,139,115,0.0433,0.0557,439,528,
security-CVE-VarelaVaca2020-2019-14947,255,1,1.4808e-06,255,15,42.3123,42.6172,495,968,
systems_software-soletta-Pett2023-2015-07-06_11-47-21,110,202,1.8980e-06,110,312,0.021,0.0244,175,8.60e19,
security-CVE-VarelaVaca2020-2015-4489,341,552,2.2054e-06,341,582,0.3017,0.9661,1771,1312,
security-CVE-VarelaVaca2020-2016-1940,333,822,1.7248e-06,333,842,0.3303,1.0686,1748,5712,
security-CVE-VarelaVaca2020-2009-2472,131,94,2.1718e-06,131,128,0.0519,0.0737,477,384,
security-CVE-VarelaVaca2020-2012-4207,514,550,1.4361e-06,514,614,0.2891,0.4613,3906,2296,
systems_software-uClibc-Pett2023-2011-04-20_12-50-38,256,1818,1.3243e-06,256,2074,0.097,0.1545,5572,9.06e26,
systems_software-uClibc-Pett2023-2013-01-10_10-56-19,249,1322,2.2482e-06,249,1571,0.0722,0.1297,7175,1.71e29,
systems_software-uClibc-Pett2023-2009-02-24_18-42-38,239,1731,1.7993e-06,239,1970,0.0931,0.1364,10361,8.09e24,
security-CVE-VarelaVaca2020-2015-2456,130,62,1.7639e-06,130,131,0.0395,0.0444,1419,3192,
security-CVE-VarelaVaca2020-2017-18570,152,1,1.2778e-06,152,15,5.6343,5.8985,289,556,
security-CVE-VarelaVaca2020-2016-5274,360,894,1.4454e-06,360,914,0.3291,1.4556,1741,5820,
security-CVE-VarelaVaca2020-2012-1958,165,87,1.9688e-06,165,111,0.0499,0.0656,644,716,
security-CVE-VarelaVaca2020-2015-7189,331,557,2.0266e-06,331,575,0.2626,1.0093,1143,1324,
security-CVE-VarelaVaca2020-2014-1564,281,448,1.4715e-06,281,475,0.1986,0.6066,1140,1088,
security-CVE-VarelaVaca2020-2012-3971,429,523,2.0564e-06,429,547,0.2109,0.4439,1907,2040,
security-CVE-VarelaVaca2020-2013-4340,120,98,1.9781e-06,120,112,1.9564,2.0943,461,896,
security-CVE-VarelaVaca2020-2016-2822,375,884,1.7099e-06,375,918,0.3793,1.3967,2541,5820,
security-CVE-VarelaVaca2020-2014-1538,421,573,1.6931e-06,421,595,0.2945,0.7451,2190,1960,
systems_software-BusyBox-Pett2021-2010-03-26_14-06-56,627,689,1.4696e-06,627,1316,0.0609,0.7011,4348,6.10e140,
security-CVE-VarelaVaca2020-2015-7216,343,1075,1.6782e-06,343,1106,0.3203,1.1944,2064,10352,
